id,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_365,calendar_last_scraped,number_of_reviews,availability_eoy,estimated_occupancy_l365d,review_scores_rating,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,amenities_number,number_of_private_bathrooms,number_of_shared_bathrooms,estimated_response_time_hours
71896,367042,within a few hours,1.0,1.0,0,10,1,1,Tampines,East Region,1.34754,103.95958,Private room in home,Private room,1,0.5,Shared half-bath,1.0,1.0,"[""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Private entrance"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Shower gel"", ""Drying rack for clothing"", ""Washer"", ""Hangers"", ""BBQ grill"", ""Extra pillows and blankets"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Bed linens"", ""Smoke alarm"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",104.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,90,2025-09-28,24,90,0,4.16,4.43,4.17,0,5,37,0.0,0.5,12.0
71903,367042,within a few hours,1.0,1.0,0,10,1,1,Tampines,East Region,1.34531,103.961,Private room in home,Private room,2,0.5,Shared half-bath,1.0,2.0,"[""Outdoor kitchen"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Washer"", ""Heating"", ""BBQ grill"", ""TV"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Shared hot tub"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Shampoo"", ""Outdoor dining area""]",76.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,90,2025-09-28,46,90,0,4.41,4.64,4.5,0,5,25,0.0,0.5,12.0
294281,1521514,within a few hours,1.0,1.0,0,8,1,1,Newton,Central Region,1.31142,103.83924,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,1.0,"[""Oven"", ""Private patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Park view"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",85.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,365,2025-09-28,131,95,0,4.43,4.66,4.52,0,7,23,0.0,1.0,12.0
344803,367042,within a few hours,1.0,1.0,0,10,1,1,Tampines,East Region,1.34917,103.9609,Private room in home,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Tecno gas stove"", ""Oven"", ""Outdoor kitchen"", ""Dishes and silverware"", ""Refrigerator"", ""Fire pit"", ""Hair dryer"", ""Cooking basics"", ""Free parking on premises"", ""Lock on bedroom door"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Outdoor shower"", ""Dryer"", ""Garden view"", ""Keypad"", ""AC - split type ductless system"", ""Free street parking"", ""Coffee maker"", ""Iron"", ""Children\u2019s books and toys"", ""Shower gel"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Hangers"", ""Bidet"", ""Body soap"", ""Extra pillows and blankets"", ""TV"", ""BBQ grill"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""High chair"", ""Bathtub"", ""Cleaning products"", ""Essentials"", ""Dedicated workspace"", ""Outdoor furniture"", ""Self check-in"", ""Kitchen"", ""Room-darkening shades"", ""Shampoo"", ""Outdoor dining area""]",41.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,286,2025-09-28,60,16,0,4.6,4.58,4.66,1,5,45,0.0,1.5,12.0
369141,1521514,within a few hours,1.0,1.0,0,8,1,1,Newton,Central Region,1.31144,103.83784,Private room,Private room,2,1.0,1 bath,1.0,1.0,"[""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""TV"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Stove"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Shampoo""]",101.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,365,2025-09-28,81,95,0,4.43,4.76,4.64,0,7,23,1.0,0.0,12.0
369145,1521514,within a few hours,1.0,1.0,0,8,1,1,Newton,Central Region,1.31129,103.83788,Private room in townhouse,Private room,2,1.0,1 shared bath,2.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""Hair dryer"", ""Cooking basics"", ""Wifi"", ""Free street parking"", ""Air conditioning"", ""Iron"", ""Washer"", ""Hangers"", ""Extra pillows and blankets"", ""Hot water"", ""Microwave"", ""Bed linens"", ""TV with standard cable"", ""Stove"", ""Essentials"", ""Oven"", ""Kitchen""]",91.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,365,2025-09-28,163,95,0,4.39,4.67,4.6,0,7,19,0.0,1.0,12.0
468782,2327208,within a few hours,0.7979322638146167,1.0,0,4,1,1,Serangoon,North-East Region,1.36288,103.86575,Private room in home,Private room,2,1.5,1.5 baths,1.0,2.0,"[""Dryer"", ""Essentials"", ""Dishes and silverware"", ""Air conditioning"", ""Washer"", ""Free parking on premises"", ""Lock on bedroom door"", ""Wifi""]",53.0,92,180,92.0,92.0,180.0,180.0,92.0,180.0,365,2025-09-28,83,95,184,4.7,4.88,4.57,0,1,8,1.5,0.0,14.3373440285205
747813,3926646,a few days or more,0.0,0.7049006010171058,0,7,1,1,Downtown Core,Central Region,1.27663,103.84498,Private room in condo,Private room,4,1.0,1 shared bath,1.0,1.0,"[""First aid kit"", ""Hair dryer"", ""Private entrance"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Hot tub"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Lockbox"", ""Paid parking on premises"", ""Smoking allowed"", ""Hot water"", ""Paid parking off premises"", ""TV with standard cable"", ""Pets allowed"", ""Gym"", ""Essentials"", ""Pool"", ""Self check-in"", ""Kitchen"", ""Shampoo""]",127.0,92,1123,92.0,92.0,1123.0,1123.0,92.0,1123.0,358,2025-09-28,68,88,0,4.63,4.82,4.91,1,4,27,0.0,1.0,48.0
747816,3926646,a few days or more,0.0,0.7049006010171058,0,7,1,1,Downtown Core,Central Region,1.27585,103.84597,Private room in condo,Private room,4,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Hair dryer"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Hot tub"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Lockbox"", ""Paid parking on premises"", ""Smoking allowed"", ""Hot water"", ""Microwave"", ""Paid parking off premises"", ""TV with standard cable"", ""Stove"", ""Gym"", ""Essentials"", ""Pool"", ""Self check-in"", ""Kitchen"", ""Shampoo""]",127.0,92,1124,92.0,92.0,1124.0,1124.0,92.0,1124.0,365,2025-09-28,25,95,0,4.56,4.88,4.96,1,4,29,0.0,1.0,48.0
765579,2413412,within a few hours,0.89,0.67,0,182,1,1,Outram,Central Region,1.2841,103.84253,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Private entrance"", ""Lock on bedroom door"", ""Wifi"", ""Dryer"", ""Luggage dropoff allowed"", ""Keypad"", ""Air conditioning"", ""Elevator"", ""Iron"", ""Washer"", ""Hangers"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Hot water"", ""Microwave"", ""Bed linens"", ""Paid parking off premises"", ""Stove"", ""Essentials"", ""Self check-in"", ""Oven"", ""Kitchen""]",47.0,92,365,92.0,92.0,1125.0,1125.0,92.0,1125.0,362,2025-09-28,2,92,0,4.0,4.5,4.0,1,91,26,0.0,2.0,12.0
